Orden,Articulo,Texto breve personalizado de detalle 5,Descripcion de articulo,Cantidad de orden original,Cantidad solicitada,Cantidad asignada,Cantidad empaquetada,orderdtlstatus,Fecha de caducidad de comprobante,Descripcion de articulo 3,Codigo de barras de articulo,Precio de venta,Atributo H,Atributo I,Detalle de orden - Campo personalizado 5,Fecha personalizada de detalle 5,Codigos de articulos alternativos,Detalle de orden - Campo personalizado 1,Crear usuario,Usuario de modificacion,Fecha de Creacion
9761309,515069,FP,Takis Blue Heat 20p 185g FLOW BAR EXP,1280,1280,0,0,Created,10/18/2024,CU,7500810031032,12.6,MXBAR,FAT,,10/18/2024,515069,,ocswebservicemx,ocswebservicemx,10/17/2024 18:46
3090159,515122,FP,Chips Jalapeno 1p 62g CP FLOW BAR,196,196,0,0,Created,10/17/2024,CB2,7500810024553_1,544.6,MXBAR,FAT,35,10/17/2024,515122,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,515120,FP,Chips Fuego 1p 62g CP FLOW BAR,392,392,0,0,Created,10/17/2024,CB2,7500810024546_1,544.6,MXBAR,FAT,35,10/17/2024,515120,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,515123,FP,Chips Sal 1p 62g CP FLOW BAR,98,98,0,0,Created,10/17/2024,CB2,7500810024560_1,544.6,MXBAR,FAT,35,10/17/2024,515123,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,514976,PK,Golden Nuts Fuego 1p 78g PC FLOW BAR,10,10,0,0,Created,10/17/2024,C3H,7500810029879,653.52,MXBAR,FAT,56,10/17/2024,514976,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,514913,PK,Takis Blue Heat 1p 70g FLOW BAR,42,42,0,0,Created,10/17/2024,CT1,7500810028353,490,MXBAR,FAT,35,10/17/2024,514913,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,514926,PK,Runners Blue Heat 1p 72g FLOW BAR,14,14,0,0,Created,10/17/2024,CB2,7500810028407,571.83,MXBAR,FAT,49,10/17/2024,514926,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,514867,FP,Runners Original 1p 72g FLOW BAR,49,49,0,0,Created,10/17/2024,CB2,7500810027837,571.83,MXBAR,FAT,49,10/17/2024,514867,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,514855,PK,Kiyakis 1p 60g FLOW BAR,40,40,0,0,Created,10/17/2024,C3H,7500810027714,497.92,MXBAR,FAT,64,10/17/2024,514855,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,514949,PK,GoldenNuts Salado 1p 78g CF FLOW BAR,30,30,0,0,Created,10/17/2024,C3H,7500810029046,653.52,MXBAR,FAT,56,10/17/2024,514949,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,514950,PK,GoldenNuts Enchilado 1p 78g CF FLOW BAR,30,30,0,0,Created,10/17/2024,C3H,7500810029053,653.52,MXBAR,FAT,56,10/17/2024,514950,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,514866,PK,Runners Fuego 1p 72g FLOW BAR,14,14,0,0,Created,10/17/2024,CB2,7500810027820,571.83,MXBAR,FAT,49,10/17/2024,514866,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,514846,PK,Chipotles 1p 65g FLOW BAR,14,14,0,0,Created,10/17/2024,CB2,7500810027646,420.12,MXBAR,FAT,36,10/17/2024,514846,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,514859,PK,Papas Barcel Adobo 1p 45g FLOW BAR,3,3,0,0,Created,10/17/2024,CB2,7500810027752,466.8,MXBAR,FAT,40,10/17/2024,514859,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,514863,PK,Papas Barcel Sal 1p 45g FLOW BAR,1,1,0,0,Created,10/17/2024,CB2,7500810027790,466.8,MXBAR,FAT,40,10/17/2024,514863,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,514865,PK,Papas Barcel Toreadas 1p 45g FLOW BAR,7,7,0,0,Created,10/17/2024,CB2,7500810027813,466.8,MXBAR,FAT,40,10/17/2024,514865,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,128814,PK,Takis Blue Heat 1p 75g FLOW BAR,1,1,0,0,Created,10/17/2024,CB2,7500810018378,661.08,MXBAR,FAT,42,10/17/2024,128814,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,128504,PK,Papas Barcel Toreadas PC 1p 170g FLOW BAR,1,1,0,0,Created,10/17/2024,CB2,7500810014363_3,447.96,MXBAR,FAT,12,10/17/2024,128504,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,128729,PK,Papas Barcel Toreadas PC SP 1p 170g FLOW BAR,2,2,0,0,Created,10/17/2024,CB2,7500810014363_2,493.8,MXBAR,FAT,12,10/17/2024,128729,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,128430,FP,Big Mix Queso Nvo 1p 75g FLOW BAR,343,343,0,0,Created,10/17/2024,CB2,7500810013182,223.92,MXBAR,FAT,18,10/17/2024,128430,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,128431,FP,Big Mix Fuego Nvo 1p 75g FLOW BAR,392,392,0,0,Created,10/17/2024,CB2,7500810013199,223.92,MXBAR,FAT,18,10/17/2024,128431,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,128432,FP,Big Mix Inglesa Limon 1p 75g FLOW BAR,49,49,0,0,Created,10/17/2024,CB2,7500810013205,223.92,MXBAR,FAT,18,10/17/2024,128432,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,128450,PK,Pop Sens Queso PC 1p 45g FLOW BAR,14,14,0,0,Created,10/17/2024,CB2,7500810013564_1,315.09,MXBAR,FAT,27,10/17/2024,128450,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,128477,PK,Pop Sens Queso PC 1p 45g TIRA BAR,3,3,0,0,Created,10/17/2024,CB2,7500810013564,305.5,MXBAR,FAT,25,10/17/2024,128477,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,128375,PK,Chips Papatinas Chillix 1p 90g FLOW BAR,3,3,0,0,Created,10/17/2024,CB2,7500810012253,855.4,MXBAR,FAT,35,10/17/2024,128375,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,128378,PK,Chips Papatinas Fuego PC 1p 31g FLOW BAR,2,2,0,0,Created,10/17/2024,CB2,7500810012284,1307.04,MXBAR,FAT,112,10/17/2024,128378,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,128192,PK,Hot Nuts Original 1p 82g FLOW BAR,10,10,0,0,Created,10/17/2024,C3H,7500810008874,630.18,MXBAR,FAT,54,10/17/2024,128192,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,128193,PK,Hot Nuts Fuego 1p 82g FLOW BAR,20,20,0,0,Created,10/17/2024,C3H,7500810008881,630.18,MXBAR,FAT,54,10/17/2024,128193,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,127923,PK,Karameladas Pop 1p 45g FLOW BAR,42,42,0,0,Created,10/17/2024,CT1,7500810005040,272.3,MXBAR,FAT,35,10/17/2024,127923,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,127924,PK,Karameladas Pop 1p 110g FLOW BAR,7,7,0,0,Created,10/17/2024,CB2,7500810005057,350.1,MXBAR,FAT,30,10/17/2024,127924,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,127925,PK,Kiyakis 1p 120g FLOW BAR,20,20,0,0,Created,10/17/2024,C3H,7500810005064,466.8,MXBAR,FAT,40,10/17/2024,127925,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,127802,FP,Takis Fuego 20pct Mas Picante 1p 70g FLOW BAR,455,455,0,0,Created,10/17/2024,CT1,7500810003671,490,MXBAR,FAT,35,10/17/2024,127802,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,127571,PK,Takis Fajita 1p 70g FLOW BAR,42,42,0,0,Created,10/17/2024,CT1,7500810000441,490,MXBAR,FAT,35,10/17/2024,127571,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,127575,FP,Takis Huakamole 1p 70g FLOW BAR,91,91,0,0,Created,10/17/2024,CT1,7500810000489,490,MXBAR,FAT,35,10/17/2024,127575,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,127577,PK,Takis Salsa Brava 1p 70g FLOW BAR,28,28,0,0,Created,10/17/2024,CT1,7500810000502,490,MXBAR,FAT,35,10/17/2024,127577,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,127264,PK,Hot Nuts Multintenso Pc 1p 50g FLOW BAR,3,3,0,0,Created,10/17/2024,C3H,7501000367481_127264,606.36,MXBAR,FAT,62,10/17/2024,127264,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,126312,PK,Chicharron De Cerdo 1p 30g FLOW BAR,14,14,0,0,Created,10/17/2024,CB2,7503030199728,262.08,MXBAR,FAT,26,10/17/2024,126312,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,126950,PK,Chicharron Cerdo 1p 70g FLOW BAR,7,7,0,0,Created,10/17/2024,CB2,7503032248165,252,MXBAR,FAT,10,10/17/2024,126950,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,126578,PK,Chips Fuego Sp Pc 1p 60g FLOW BAR,7,7,0,0,Created,10/17/2024,CB2,7503030199681_126578,495,MXBAR,FAT,30,10/17/2024,126578,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,126895,PK,Chips Sal Sp 1p 60g FLOW BAR,1,1,0,0,Created,10/17/2024,CB2,7501000264049_126895,495,MXBAR,FAT,30,10/17/2024,126895,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,126894,PK,Chips Jalapeno Sp 1p 60g FLOW BAR,1,1,0,0,Created,10/17/2024,CB2,7501000264773_126894,495,MXBAR,FAT,30,10/17/2024,126894,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,48205,PK,Valentones 1p 175g FLOW BAR,14,14,0,0,Created,10/17/2024,CB2,7501030482055,186.64,MXBAR,FAT,8,10/17/2024,48205,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,124543,PK,Valentones Fuego 1p 60g FLOW BAR,2,2,0,0,Created,10/17/2024,CB2,757528036638,233.4,MXBAR,FAT,20,10/17/2024,124543,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,0800,PK,Chips Jalapeno 1p 170g FLOW BAR,7,7,0,0,Created,10/17/2024,CB2,7501000266234,427.79,MXBAR,FAT,11,10/17/2024,0800,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,125031,PK,Big Mix Queso 1p 185g FLOW BAR,3,3,0,0,Created,10/17/2024,CB2,757528039288,275,MXBAR,FAT,10,10/17/2024,125031,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,123052,PK,Takis Fuego 1p 80g FLOW BAR,7,7,0,0,Created,10/17/2024,CB2,757528026042,661.08,MXBAR,FAT,42,10/17/2024,123052,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,123051,PK,Takis Original 1p 80g FLOW BAR,1,1,0,0,Created,10/17/2024,CB2,757528026035,661.08,MXBAR,FAT,42,10/17/2024,123051,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,45973,PK,Karameladas Pop 1p 120g FLOW BAR,3,3,0,0,Created,10/17/2024,CB2,7501030459736,533,MXBAR,FAT,26,10/17/2024,45973,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,31090,PK,Chips Fuego 1p 170g FLOW BAR,14,14,0,0,Created,10/17/2024,CB2,757528001889,427.79,MXBAR,FAT,11,10/17/2024,31090,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,124824,PK,Takis Fuego 1p 200g FLOW BAR,7,7,0,0,Created,10/17/2024,CB2,757528038205,586.8,MXBAR,FAT,20,10/17/2024,124824,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,124239,PK,Takis Fuego 1p 56g FLOW BAR,13,13,0,0,Created,10/17/2024,CT1,7501030424536,546.72,MXBAR,FAT,48,10/17/2024,124239,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,31811,PK,Chipotles 1p 80g FLOW BAR,2,2,0,0,Created,10/17/2024,CB2,757528003166,513.45,MXBAR,FAT,35,10/17/2024,31811,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3090159,38582,PK,Golden Nuts Enchilado 1p 100g FLOW BAR,2,2,0,0,Created,10/17/2024,C3H,7501030459927_38582,759.2,MXBAR,FAT,40,10/17/2024,38582,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:52
3089774,514988,PK,Pop BlueHeat 1p 45g PC FLOW BAR,9,9,0,0,Created,10/17/2024,CB2,7500810030042_1,315.09,MXBAR,FAT,27,10/17/2024,514988,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,515122,PK,Chips Jalapeno 1p 62g CP FLOW BAR,21,21,0,0,Created,10/17/2024,CB2,7500810024553_1,544.6,MXBAR,FAT,35,10/17/2024,515122,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,515122,FP,Chips Jalapeno 1p 62g CP FLOW BAR,98,98,0,0,Created,10/17/2024,CB2,7500810024553_1,544.6,MXBAR,FAT,35,10/17/2024,515122,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,515120,PK,Chips Fuego 1p 62g CP FLOW BAR,17,17,0,0,Created,10/17/2024,CB2,7500810024546_1,544.6,MXBAR,FAT,35,10/17/2024,515120,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,515120,FP,Chips Fuego 1p 62g CP FLOW BAR,196,196,0,0,Created,10/17/2024,CB2,7500810024546_1,544.6,MXBAR,FAT,35,10/17/2024,515120,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514929,PK,Runners Limon Sal 1p 72g FLOW BAR,17,17,0,0,Created,10/17/2024,CB2,7500810028599,571.83,MXBAR,FAT,49,10/17/2024,514929,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,515123,PK,Chips Sal 1p 62g CP FLOW BAR,16,16,0,0,Created,10/17/2024,CB2,7500810024560_1,544.6,MXBAR,FAT,35,10/17/2024,515123,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,515123,FP,Chips Sal 1p 62g CP FLOW BAR,49,49,0,0,Created,10/17/2024,CB2,7500810024560_1,544.6,MXBAR,FAT,35,10/17/2024,515123,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,515007,PK,Golden Nuts Fuego 1p 110g PC FLOW BAR,3,3,0,0,Created,10/17/2024,C3H,7500810029886,622.4,MXBAR,FAT,40,10/17/2024,515007,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514976,PK,Golden Nuts Fuego 1p 78g PC FLOW BAR,4,4,0,0,Created,10/17/2024,C3H,7500810029879,653.52,MXBAR,FAT,56,10/17/2024,514976,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514913,PK,Takis Blue Heat 1p 70g FLOW BAR,8,8,0,0,Created,10/17/2024,CT1,7500810028353,490,MXBAR,FAT,35,10/17/2024,514913,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514913,FP,Takis Blue Heat 1p 70g FLOW BAR,91,91,0,0,Created,10/17/2024,CT1,7500810028353,490,MXBAR,FAT,35,10/17/2024,514913,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514926,PK,Runners Blue Heat 1p 72g FLOW BAR,7,7,0,0,Created,10/17/2024,CB2,7500810028407,571.83,MXBAR,FAT,49,10/17/2024,514926,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514926,FP,Runners Blue Heat 1p 72g FLOW BAR,49,49,0,0,Created,10/17/2024,CB2,7500810028407,571.83,MXBAR,FAT,49,10/17/2024,514926,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514867,PK,Runners Original 1p 72g FLOW BAR,42,42,0,0,Created,10/17/2024,CB2,7500810027837,571.83,MXBAR,FAT,49,10/17/2024,514867,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514867,FP,Runners Original 1p 72g FLOW BAR,49,49,0,0,Created,10/17/2024,CB2,7500810027837,571.83,MXBAR,FAT,49,10/17/2024,514867,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514719,PK,Takis Duoz PopChilixSandia 1p 85gPC TIRA BAR,3,3,0,0,Created,10/17/2024,CB2,7500810020234,560.16,MXBAR,FAT,36,10/17/2024,514719,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514903,PK,Wapas Nuevo Queso 1p 52g PC TIRA BAR,28,28,0,0,Created,10/17/2024,CB2,7500810020975,350.1,MXBAR,FAT,30,10/17/2024,514903,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514855,PK,Kiyakis 1p 60g FLOW BAR,32,32,0,0,Created,10/17/2024,C3H,7500810027714,497.92,MXBAR,FAT,64,10/17/2024,514855,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514853,PK,Golden Nuts Enchilado 1p 110g FLOW BAR,5,5,0,0,Created,10/17/2024,C3H,7500810027691,622.4,MXBAR,FAT,40,10/17/2024,514853,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514949,PK,GoldenNuts Salado 1p 78g CF FLOW BAR,21,21,0,0,Created,10/17/2024,C3H,7500810029046,653.52,MXBAR,FAT,56,10/17/2024,514949,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514950,PK,GoldenNuts Enchilado 1p 78g CF FLOW BAR,20,20,0,0,Created,10/17/2024,C3H,7500810029053,653.52,MXBAR,FAT,56,10/17/2024,514950,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514866,PK,Runners Fuego 1p 72g FLOW BAR,8,8,0,0,Created,10/17/2024,CB2,7500810027820,571.83,MXBAR,FAT,49,10/17/2024,514866,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514866,FP,Runners Fuego 1p 72g FLOW BAR,49,49,0,0,Created,10/17/2024,CB2,7500810027820,571.83,MXBAR,FAT,49,10/17/2024,514866,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514854,PK,Golden Nuts Salado 1p 110g FLOW BAR,6,6,0,0,Created,10/17/2024,C3H,7500810027707,622.4,MXBAR,FAT,40,10/17/2024,514854,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514846,PK,Chipotles 1p 65g FLOW BAR,44,44,0,0,Created,10/17/2024,CB2,7500810027646,420.12,MXBAR,FAT,36,10/17/2024,514846,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514861,PK,Papas Barcel Limon 1p 45g FLOW BAR,7,7,0,0,Created,10/17/2024,CB2,7500810027776,466.8,MXBAR,FAT,40,10/17/2024,514861,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514859,PK,Papas Barcel Adobo 1p 45g FLOW BAR,15,15,0,0,Created,10/17/2024,CB2,7500810027752,466.8,MXBAR,FAT,40,10/17/2024,514859,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514863,PK,Papas Barcel Sal 1p 45g FLOW BAR,12,12,0,0,Created,10/17/2024,CB2,7500810027790,466.8,MXBAR,FAT,40,10/17/2024,514863,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514865,PK,Papas Barcel Toreadas 1p 45g FLOW BAR,14,14,0,0,Created,10/17/2024,CB2,7500810027813,466.8,MXBAR,FAT,40,10/17/2024,514865,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
3089774,514480,PK,Takis Blue Heat PC 1p 240g FLOW BAR,3,3,0,0,Created,10/17/2024,CB2,7500810022450,473.76,MXBAR,FAT,12,10/17/2024,514480,TARIMA,ocswebservicemx,ocswebservicemx,10/17/2024 14:21
